Name,Born,Died,Link,Details,Bilblography 1,Bibliography 2,Biliography 3,Units
Joseph Trumpeldor,11/21/1880,3/1/1920,https://en.wikipedia.org/wiki/Joseph_Trumpeldor,British army officer; brought Jewish imigrants to Israel,"The Encyclopedia of the Arab-Israeli Conflict : A Political, Social, and Military History, edited by Spencer C. Tucker, and Priscilla Mary Roberts, ABC-CLIO, LLC, 2008. ProQuest Ebook Central, https://ebookcentral-proquest-com.ezproxy.lib.utexas.edu/lib/utxa/detail.action?docID=327719.","Zertal, Idith. 2005. Israel's Holocaust and the politics of nationhood. Translated by Chaya Galai. New York: Cambridge University Press.",,
Otto Skorzeny,6/12/1908,7/5/1975,https://en.wikipedia.org/wiki/Otto_Skorzeny,"Austrian; (ww2)
allegiance: Nazi Germany
rank: Obersturmbannfuhrer (lt. colonel)","Skorzeny, Otto. 1995. My Commando Operations: The Memoirs of Hitler's Most Daring Commando. Schiffer Military History.","Infield, Glenn B. 1981. Skorzeny, Hitler's Commando. New York: Military Heritage Press.",,
Paul von Lettow-Vorbeck,3/20/1870,3/9/1964,https://en.wikipedia.org/wiki/Paul_von_Lettow-Vorbeck,"""Lion of Africa""
allegiance: German Empire, Weimar Republic
service: Prussian Army
rank: General der Infanterie","Lettow-Vorbeck, General von (Paul Emil). 1920. My reminiscenses of East Africa. London: Hurst and Blackett.","Anderson, Ross. 2004. The Forgotten Front: the East African campaign; 1914-1910. Stroud: Tempus.","Paice, Edward. 2007. Tip and Run: The untold tragedy of the Great War in Africa. London: Weidenfield & Nicholson.",
Theodor von Hippel,1/19/1890,1/1/1977,https://en.wikipedia.org/wiki/Theodor_von_Hippel,"allegiance: Weimar Republic, Nazi Germany
rank: Oberstleutnant (German Army) Brandenburger commando unit","Gordon, John W. 1987. The other desert war: British Special Forces in North Africa, 1940-1943. New York: Greenwood Press.","Bartov, Omer. 2011. The Eastern Front, 1941-45: German Troops and the Barbarisation of Warfare. New York: Palgrave Macmillan",,
T. E. Lawrence,8/16/1888,5/19/1935,https://en.wikipedia.org/wiki/T._E._Lawrence,"British military officer, diplomat;
allegiance: UK, Kingdom of Hejaz
service: British army, Royal Air Force
rank: Colonel (British army), Aircraftman (RAF)","Brown, Malcolm. 2003. T.E. Lawrence. New York: New York University Press.","Anderson, Scott. 2014. Lawrence in Arabia: War, Deceit, Imperial Folly and the Making of the Modern Middle East. Anchor.","Orlans, Harold. 2002. T.E. Lawrence: biography of a broken hero. Jefferson, N.C.: McFarland & Company.",
"Simon Fraser, 15th Lord Lovat",7/9/1911,3/16/1995,"https://en.wikipedia.org/wiki/Simon_Fraser,_15th_Lord_Lovat","25th chief of the Clan Fraser of Lovat; British commando during WW2
allegiance: UK
rank: Brigadier",,,,
Willie Roher,,,,,,,,
Orde Charles Wingate,2/26/1903,3/24/1944,https://en.wikipedia.org/wiki/Orde_Wingate ,"senior British army officer;
allegiance: UK/British Empire
rank: Major General ","Bierman, John. 1999. Fire in the night: Wingate of Burma, Ethiopia, and Zion. London: Macmillan.","Sykes, Christopher. 1959. Orde Wingate: A Biography. Cleveland, Ohio: World Publishing Company.","Mead, P. (1979). Orde Wingate and the Official Historians. Journal of Contemporary History, 14(1), 55-82. Retrieved from http://www.jstor.org.ezproxy.lib.utexas.edu/stable/260227",
Claude Auchinleck,6/21/1884,3/23/1981,https://en.wikipedia.org/wiki/Claude_Auchinleck,"British army commander during WW2
allegiance: British empire
rank: Field Marshall","Connell, John. 1959. Auchinleck, a biography of Field-Marshal Sir Claude Auchinleck. London: Cassell.","Agar-Hamilton, J.A. I. 1952. Crisis in the Desert May-July 1942. Cape Town: Oxford University Press.",,
Piet De Wet,,,,,,,,
John Dill,12/25/1881,11/4/1944,https://en.wikipedia.org/wiki/John_Dill,"senior British army officer w/ service in both WW.
allegiance: British army
rank: Field Marshal","Stoler, Mark. 2003. Allies and Adversaries: The Joint Chiefs of Staff, the Grand Alliance, and US Strategy in World War II. Chapel Hill: University of North Carolina Press.","Danchev, Alex. 1991. Keegan, John ed. Churchill's Generals. London: Cassell Military.","Danchev, Alex. 1986. Very special relationship: Field-Marshall Sir John Dill and the Anglo-American alliance, 1941-44. Washington: Brassey's Defence Publishers.",
Junio Valerio Borghese,6/6/1906,8/26/1974,https://en.wikipedia.org/wiki/Junio_Valerio_Borghese,"""The Black Prince""; Italian Navy Commander during the regime of Mussolini's National Fascist Party
allegiance: Kingdom of Italy, Italian Social Republic
rank: Frigate captain","Greene, Jack. 2004. The Black Prince and the Sea Devils: The Story of Prince Valerio Borghese and the Elite Units of the Decima MAS. Da Capo Press.","Behan, Tom. 2009. The Italian resistance: fascits, guerrillas, and the Allies. New York: Palgrave Macmillan.","Borghese, Junio Valerio. 1995. Sea Devils: Italian Navy Commandos in World War II. Translated by James Cleugh. Annapolis, Maryland: Naval Institute Press.",
Roger Courtney,1/1/1902,1/1/1949,https://en.wikipedia.org/wiki/Roger_Courtney,established Special Boat Sections in WW2,"Breuer, William. 2001. Daring missions of World War II. New York: J Wiley.",,,
"George Jellicoe, 2nd Earl Jellicoe",4/4/1918,2/22/2007,"https://en.wikipedia.org/wiki/George_Jellicoe,_2nd_Earl_Jellicoe","KBE, DSO, MC, PC, FRS, FRGS; longest serving parliamentarians, member of the House of Lords for 68 yrs","Patterson, A. Temple. 1969. Jellicoe: a biography. London: Macmillan. ","Windmill, Lorna Almonds. 2006. A British Achilles: The Story of George, 2nd Earl Jellicoe. Pen and Sword Books",,
Vladimir Peniakoff,3/30/1897,5/15/1951,https://en.wikipedia.org/wiki/Vladimir_Peniakoff,"founder and commanding officer of no.1 Demolition Squadron, ""Popski's Private Army"" during WW2. (DSO, MC, FRGS)
allegiance: France/UK
service: French Army, British Army
rank: Lieutenant-Colonel","Peniakoff, Vladimir. 1950. Popski's Private Army. New York: Crowell.",,,
Israel Carmi,12/14/1915,1/20/2008,https://www.wikiwand.com/he/%D7%99%D7%A9%D7%A8%D7%90%D7%9C_%D7%9B%D7%A8%D7%9E%D7%99,,,,,
