Unit,Year Established,Affiliation,Predecessor,Successor,Command
124 Squadron Flipping Sword Squadron,1958,Air force,,,
Laskov Team - Weapons Development Unit,1958,Engineering,,,
Defensive Divers 707,1962,Navy,Flotilla 13,"Flotilla 13, Yaltam Underwater Missions",Navy
Sayeret Egoz 483,1963,"Northern Command, Regional",Sayeret Egoz 483,Sayeret Egoz 483,North
Paratroopers Engineer Company 505 - Coluber,1963,Infantry,Paratroopers Engineer Company,Paratroopers Engineer Company,Center
Sayeret 525 Reconnaissance,1963,"Regional, Southern Command",Sayeret Shaked 424,Sayeret Shaked 424,South
Golani Engineering company,1965,"Golani Brigade, Infantry",Golani Engineering company,Golani Engineering company,North
Chief infantry and paratrooper officer,1965,,,,
114 Squadron Night Leaders Squadron,1966,Air force,114 Squadron Night Leaders Squadron,114 Squadron Night Leaders Squadron,Air Force
Duchiphat Hoopoe Reconnaissance,1966,Paratroopers,Duchiphat Hoopoe Reconnaisance,Duchiphat Hoopoe Reconnaisance,Center
Sayeret Charuv 484,1966,"Central Command, Regional",Sayeret Haruv 484,Sayeret Haruv 484,Center
Bat (ATALEF) Unit,1966,"Regional, Sayeret Shaked 424, Southern Command",Sayeret Shaked 424,Bat (ATALEF) Unit,South
Druze Reconnaissance Unit 244,1967,Infantry,Druze Reconnaissance Unit 244,Druze Reconnaissance Unit 244,North
ATM Recon Unit 70,1968,Infantry,ATM Recon Unit 70,ATM Recon Unit 70,
Polar Bear Unit 88,1968,Armor,Polar Bear Unit 88,Polar Bear Unit 88,South
Reconnaissance Anti-Tank 582 80,1968,Paratroopers,Reconnaisance Anti-Tank 582 80,Reconnaisance Anti-Tank 582 80,Center
Sayeret 401 Armored Reconnaissance Company,1968,Armor,Sayeret 401 Armored Reconnaissance Company 1968,Sayeret 401 Armored Reconnaissance Company 1968,South
Shaked Pseudocerastes Shfifon,1968,"Regional, Sayeret Shaked 424, Southern Command",Sayeret Shaked 424,Sayeret Shaked 424,South
Special Operations Technological Unit 81,1969,"Intelligence, Special Operations Division",Sayeret Matkal 262 269,,AMAN
Special Operations Division,1969,Intelligence,,,
118 Squadron Nocturnal Birds of Prey Squadron,1970,Air force,118 Squadron Nocturnal Birds of Prey Squadron,118 Squadron Nocturnal Birds of Prey Squadron,Air Force
Reconnaissance Company 679,1970,Armor,Reconnaissance Company 679,Reconnaissance Company 679,North
SAPIR,1970,"Engineering, Yahalom",,,
Bomb Disposal Unit 1970,1970,"Engineering, Yahalom",Bomb Disposal Unit 1970,Bomb Disposal Unit 1970,General
Shaked Chameleon Zikit,1970,"Regional, Southern Command",Sayeret Shaked 424,Sayeret Shaked 424,Gaza
Granade Rimon Unit 5176,1970,"Regional, Southern Command",,"Regional Brigade 417, Shimshon (Unit 367)",Gaza
Yiftach - Weapons Development Unit,1970,Engineering,,,
Unit 5700,1972,"Air force, Wing 7",Unit 5700,Unit 5700,Nevatim
Unit 755,1973,Artillery,Unit 755,Unit 755,
Sayeret 401 Armored Reconnaissance Company,1973,Armor,Sayeret 401 Armored Reconnaissance Company,Sayeret 401 Armored Reconnaissance Company,Center
Yamam Counter-terrorism,1973,"Border Police, Police",Yamam Counter-terrorism,Yamam Counter-terrorism,General
Natran,1973,Artillery,Natran,Natran,General
Reconnaissance Battalion 87,1973,Armor,Reconnaissance Battalion 87,Reconnaissance Battalion 87,South
Reconnaissance Company 421,1973,Armor,Reconnaissance Company 421,Reconnaissance Company 421,South
