term_raw,universal_title,title_code,definition_verbatim,explanation,definition_basis,definition_basis_code,author,profession,discipline,country,year,source_MLA,page,sub_source,provenance
Special Operations Forces (Capability Levels),Special Operations Forces,4,See pages 57 - 59 of NATO SOF Study,,,,,2,,United States,2008,"United States of America. National Security Agency. North Atlantic Treaty Organization. Special Operations Forces Study. By NATO Special Operations Coordination Centre. N.p.: n.p., 2008. Print.",C1-C4,,original;facet_of:Special Operations Forces
Special Operations Forces (Force Structure),Special Operations Forces,4,See page 196,,,,,2,,United States,1997,"United States. Dept. of Defense. Annual Report - Department of Defense. [Washington]: Dept. of Defense, 1997. Print.",196,,original;facet_of:Special Operations Forces
